Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Oracle,VP,oracle.com,"CA
",10000000,"High Tech
",cloud,"10,000+ employees",$5B+,60,NO,NO,NO,NO,NO,"Oracle
",yes,yes,cloud security,yes,yes,"secure deletion or sanitization of digital media_x000d_
	1. data breaches - _x000d_
	2. data loss - loss of information, deletion, overwriting, corruption or integrity of data compromoise_x000d_
	3. account or service traffic hijacking - methods such as phishing, more recently smishing (sms phishing), spear phishing (targeted phishing attacks), and exploitation_x000d_
	of software and other application-related vulnerabilities.  allows attackers to monitor and eavesdrop on communications, sniff and track traffic, capture relevant_x000d_
	credentials, and access and alter account and user profile characteristics (changing passwords and more)._x000d_
	4. api security - _x000d_
	5. denial of service - prevent users from accessing services and resources from a specified system or location. this can be done using any number of attack vectors available but typically look to target buffers, memory, network bandwidth, or processor power._x000d_
	6. malicious insiders - disgruntled employees, contractor, or partner_x000d_
	7. abusing cloud services for bad intent - eg execute dictionary attacks, dos attacks, crack encryption passwords, host illegal sw for distribution_x000d_
",yes,NO,"	1. data breaches - _x000d_
	2. data loss - loss of information, deletion, overwriting, corruption or integrity of data compromoise_x000d_
	3. account or service traffic hijacking - methods such as phishing, more recently smishing (sms phishing), spear phishing (targeted phishing attacks), and exploitation_x000d_
	of software and other application-related vulnerabilities.  allows attackers to monitor and eavesdrop on communications, sniff and track traffic, capture relevant_x000d_
	credentials, and access and alter account and user profile characteristics (changing passwords and more)._x000d_
	4. api security - _x000d_
	5. denial of service - prevent users from accessing services and resources from a specified system or location. this can be done using any number of attack vectors available but typically look to target buffers, memory, network bandwidth, or processor power._x000d_
	6. malicious insiders - disgruntled employees, contractor, or partner_x000d_
	7. abusing cloud services for bad intent - eg execute dictionary attacks, dos attacks, crack encryption passwords, host illegal sw for distribution_x000d_
",yes,NO,"	1. data breaches - _x000d_
	2. data loss - loss of information, deletion, overwriting, corruption or integrity of data compromoise_x000d_
	3. account or service traffic hijacking - methods such as phishing, more recently smishing (sms phishing), spear phishing (targeted phishing attacks), and exploitation_x000d_
	of software and other application-related vulnerabilities.  allows attackers to monitor and eavesdrop on communications, sniff and track traffic, capture relevant_x000d_
	credentials, and access and alter account and user profile characteristics (changing passwords and more)._x000d_
	4. api security - _x000d_
	5. denial of service - prevent users from accessing services and resources from a specified system or location. this can be done using any number of attack vectors available but typically look to target buffers, memory, network bandwidth, or processor power._x000d_
	6. malicious insiders - disgruntled employees, contractor, or partner_x000d_
	7. abusing cloud services for bad intent - eg execute dictionary attacks, dos attacks, crack encryption passwords, host illegal sw for distribution_x000d_
",no,NO,no,no,NO,no,no,NO,no,no,NO,no,yes,yes,"	1. data breaches - _x000d_
	2. data loss - loss of information, deletion, overwriting, corruption or integrity of data compromoise_x000d_
	3. account or service traffic hijacking - methods such as phishing, more recently smishing (sms phishing), spear phishing (targeted phishing attacks), and exploitation_x000d_
	of software and other application-related vulnerabilities.  allows attackers to monitor and eavesdrop on communications, sniff and track traffic, capture relevant_x000d_
	credentials, and access and alter account and user profile characteristics (changing passwords and more)._x000d_
	4. api security - _x000d_
	5. denial of service - prevent users from accessing services and resources from a specified system or location. this can be done using any number of attack vectors available but typically look to target buffers, memory, network bandwidth, or processor power._x000d_
	6. malicious insiders - disgruntled employees, contractor, or partner_x000d_
	7. abusing cloud services for bad intent - eg execute dictionary attacks, dos attacks, crack encryption passwords, host illegal sw for distribution_x000d_
",", Application Security and WAF, API Secutiry, Cloud Security, Critical Event Management Data Loss Protection, Data Center Security, Data Security, DevOps Security Encryption Fraud Prevention / Transaction Security, Identity & Access Management, Multi-factor authentication, Zerotrust Managed Security Service Provider, Network Security - Firewall, Network Security - Intrusion Prevention Systems, Network Security - Monitoring & forensics, Network Security - Unified Threat Management Penetration Testing and Simulation, Privileged Access Management, Ransomware, Risk & Compliance SIEM, SOAR - Security Orchestration Automation and Response, Third Party Cyber Risk Management, Threat Intelligence",", Business Intelligence, Cloud Migration Services Dev-Ops,"," Digital Customer Experience Optimization, Digital Transformation, Digital Security Robotic Process Automation (RPA),",", BI Dashboard & Reporting, Big Data & Analytics, Business Intelligence, Business Process Management Data Cleansing, Data Governance & MDM, Data Visualization, Data Warehousing Hyper-converged Infrastructure (HCI),",",",",",",",",",", IT Training Software for staff : Cybersecurity,",Summer 22,22,4,4,10,17
US MED,Chief Information Officer,usmed.com,FL,250000,Healthcare / Hospital,Diabetic testing supplies,250-500 employees,$100M-$250M,5,15,2,100,Windows,Quickbooks/Other,Azure,0,0,as we continue to modernize our applications we now have the ability to add technology such as database encryption that we've been unable to undertake in the past. also we are moving employees to be permanently remote so zero trust and better overall data protections in a distributed workforce environment is now critical.,0,0,no initiatives in this area at this time.,0,0,we are looking to replace and expand our current rpa solution which has been hugely successful but the tool is limiting us.,0,0,with our recent acquisition we are looking at all types of new tools with bpm being a potential high use tool throughout the organization.,0,0,no initiatives in this area at this time.,0,0,we are looking at migrating off our current on prem phone system to a high functioning cloud based call center platform.,0,0,no initiatives in this area at this time.,0,0,no initiatives in this area at this time.,0,0,no initiatives in this area at this time.,0,0,0,0,0,0,0,0,0,Fall 21,1,4,1,2,2
TestOut Corporation,Director of IT,testout.com,UT,1000000,Education,LabSim is our main service and we provide educational courses and simulations inside this service.,100-250 employees,Less than $50M,1,6,1,0,Windows,None,Azure,0,0,our main project in 2022 will be looking into zeropoint to eliminate the strain on our vpn. we are also needing a firewall upgrade by end of 2022.,0,0,we are working on a project for file sharing and storage as well as backup and recovery of endpoints.,0,0,no,0,0,"we have a data warehouse that is in its infancy, so finding new solutions for ways to improve could be helpful.",0,0,no,0,0,we are in a 3 year contract for our voip that ends in 2023. we just moved to teams for internal communications and things are going well.,0,0,"we have moved to a more remote workforce, so our on prem networking needs to be scaled back. working with a company that may have network specialists could be helpful.",0,0,we have recently started working with a couple outsourcing companies. we are in preliminary talks and things are going well. we don't have a need to include others in those discussions.,0,0,we recently filled all open positions. we won't have another hiring round until late in 2022.,0,0,0,0,0,0,0,0,0,Fall 21,3,4,0,1,5
My Credit Union,CIO - CSO,www.mymncu.org,MN,,Finance,Financial service - all of them :),50-100,$250M-$500M,5,7,2,5,Mostly Windows on VmWare,Fiserv,Azure,Yes,Yes,api security and user behavior monitoring,Yes,Yes,virtual machines for remote users,Yes,Yes,ai for operations and marketing,Yes,Yes,definitively data analytics,No,No,no,Yes,Yes,"call center optimization, connection with website",Yes,No,can we make our sd-wan more resilient,Yes,Yes,apis development and bi,Yes,No,definitively it development for apis and ais,"API SecutiryThreat Intelligence,User behavior monitoring,","IoT,IT Service Management (ITSM),Virtual Machines,","Artificial Intelligence & Machine LearningRobotic Process Automation (RPA),","Big Data & Analytics,Data Warehousing,",",",",Contact Center Optimization","SD-WAN,","APIsBusiness Intelligance,",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software",Fall 22,2,4,0,2,6
Tarter Krinsky and Drogin LLP,Director of IT,tarterkrinsky.com,NY,1.8M,Professional Services,Legal Services,100-250 employees,$50M-$100M,2,4,1,0,Windows 10,None,Azure,0,0,cloud security for our present cloud solution. new method of remote access. new voip phone system. new crm system,0,0,"new voip system
 
 , new crm",0,0,using ai to help improve efficiency in document creation and reduce risk of mistakes in documents,0,0,encryption at rest,0,0,nothing at this time,0,0,replacing our voip solution,0,0,production wifi,0,0,not at this time,0,0,getting and retaining talent,0,0,0,0,0,0,0,0,0,Fall 21,3,4,2,3,5
Mt San Rafael,Chief Information Officer,msrhc.org,CO,150k,Healthcare / Hospital,"The healthcare system offers four broad types of services: health promotion, disease prevention, diagnosis and treatment, and rehabilitation.",1000-5000 employees,$100M-$250M,10,15,5,2,5,Microsoft,AWS,0,0,we are looking for top business partners to help up explore better ways to improve our cybersecurity strategy.,0,0,"we continue to have issues with encryption, cloud security and need to design a strategic plan that shows how to move away from the data center and go fully cloud as secure as possible.",0,0,"we are creating our hdtp (hospital digital transformation project) strategy to incorporate ai, digital workforce, and continue to invest in digital strategies needed to take our org to the next level.",0,0,the issue we are faced with is not having a robust disaster program in place that would improve our data management program to make sure all data meet full encryption high security and multiple locations to store and restore from.,0,0,looking at improving our interoperability journey with more of an advanced interface engine and explore cloud-based api soultions.,0,0,we are looking to get rid of our mitel phone system and installed a cloud-based voip phone system.,0,0,we will be building a new idf and need to make sure we have all networking designed to create the best wan connection for the organization.,0,0,looking at vciso and digital workforce to add more fte's to it.,0,0,looking at improving professional development and getting more training for my staff.,0,0,0,0,0,0,0,0,0,Fall 21,9,4,1,9,7
Avaya,"Director - Cloud, DevOps and Enterprise Architecture",avaya.com,"NC
",Millions,"Other
","Telecommunications, Unified Communications, Contact Centers, Digital Transformation, Omnichannel contact center solution, Private, Public and Hybrid Cloud deployment, Data Analytics, AI and ML to solve unique Contact Center use cases.","5000-10,000 employees
","$1B-$5B
",Multiple - all over the globe,500+,20-50,500+,"Linux, Windows","SAP, Salesforce",NO,yes,yes,"end to end security with encryption_x000d_
api governance and security_x000d_
security scan and penetration test_x000d_
zero trust and ransomware_x000d_
identity and access management",yes,yes,"plan an ecosystem which is a combination of private, public and hybrid cloud. flexibility to shift workloads from one to another - with full governance and security and control over end -to end solution",yes,yes,"introduce digital channels (voice, email, chat, sms, social and others)_x000d_
introduce data analytics with ai/ml to solve interesting use cases",yes,yes,"where should data reside in a hybrid environment that is mixture of private, public and hybrid cloud?_x000d_
how do we drive kpi and analytics from the data?_x000d_
advanced use cases using ai/ml",no,NO,no,yes,yes,being ready with omnichannel contact centers with traditional and new channels,no,NO,no,no,NO,no,no,NO,no," Application Security - Vulnerability Assessment, Application Security and WAF, API Secutiry, Cloud Security Data Center Security DevOps Security, Disaster / Backup Recovery, Email Security Encryption Fraud Prevention / Transaction Security, Identity & Access Management, Multi-factor authentication Industrial / IoT Security Network Security - Firewall, Network Security - Intrusion Prevention Systems, Network Security - Monitoring & forensics, Penetration Testing and Simulation Ransomware, Risk & Compliance, Security Incident Response, SIEM, Web Security",", Business Intelligence, Cloud Migration Services Connect Cloud Dev-Ops, Virtualization"," Artificial Intelligence & Machine Learning Digital Customer Experience Optimization, Digital Transformation Digital Workforce"," Backup/Disaster Recovery, BI Dashboard & Reporting, Big Data & Analytics, Business Intelligence, Data Integration & Access Data Visualization",","," Business SMS and MMS Cloud based phone systems (VOIP), Contact Center Optimization, Unified Communications,",",",",",0,Summer 22,7,4,1,5,8
Marriott International,Senior Director - Service Desks,marriott.com,"MD
",unk,Travel / Hospitality / Recreation / Entertainment,Lodging and digital services.,"10,000+ employees",$5B+,7000,Unk,Unk,5000,Proprietary,NO,NO,no,NO,no,no,NO,no,no,NO,no,no,NO,no,no,NO,no,yes,no,we've recently migrated over to nice cxone. we would like to know about more solutions to optimize the performance and effectiveness of our teams.,no,NO,no,yes,yes,we may have the opportunity to grow our outsourcing resources. we may be looking at some bilingual providers as well as those with experience support lodging or hospitality related organizations.,yes,yes,preparing the current silo of teams with being more agile and being able to help across streams with other groups. our service desk volume ebbs and flows based on application. it would be desirable to get more people skilled in some form in multiple proprietary applications to help support enhanced fcr and mttr.,0,",",",",0,","," Cloud based phone systems (VOIP), Contact Center Optimization, Outsourced Consulting,",",",", Call Centers, IT Service Management (ITSM), Staffing / Recruiting Vendor Evaluations"," IT Advisory / Analyst Support IT Certificates, IT Training Software for staff : IT Operations, Leadership coaching, Team Efficiency and Effectiveness Training, Workload Prioritization/ Employee Burnout Prevention",Summer 22,0,4,0,0,1
Mediagistic Inc,IT Director,www.mediagistic.com,FL,,Media & Internet,Turn key B2B marketing solutions,100-250,$0-$50M,3,1,1,No,"Windows, Mac, VMware",Shopping,Azure,Yes,Yes,"migrating to cloud providers - no longer relying on an office for employees to work. looking at egnyte, brandfolder, ringcentral, 1password, and a few others to assist in this adventure.",Yes,Yes,"migrating to cloud providers - no longer relying on an office for employees to work. looking at egnyte, brandfolder, ringcentral, 1password, and a few others to assist in this adventure.",No,No,no,No,No,no,No,No,no,Yes,Yes,"migrating to cloud providers - no longer relying on an office for employees to work. looking at egnyte, brandfolder, ringcentral, 1password, and a few others to assist in this adventure.",Yes,No,"migrating to cloud providers - no longer relying on an office for employees to work. looking at egnyte, brandfolder, ringcentral, 1password, and a few others to assist in this adventure.",No,No,no,No,no,no,"Data Loss ProtectionDisaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat DetectionIdentity & Access Management,Multi-factor authentication,Mobile Security,Phishing,Ransomware",",Business IntelligenceDocument Management Systems,ERPManaged File Transfer,Storage",",",0,",",",",",",",",0,Fall 22,0,4,0,4,4
WIN,"VP, Information Technology",winnyc.org,NY,300000,Non-Profit,Operate homeless shelters for women and families,500-1000 employees,$100M-$250M,22,6,0,0,0,0,Azure,0,0,will be suring up security policies and implementing mfa. continuing implementation of azure ad for identity and access management. exploring move toward zerotrust architecture from traditional perimeter security,0,0,"looking to implement service desk and asset managment platform for it assets in addtion to facility and building operatios assets and facility, hc, and finance service desk. 
 
 
 
 will be looking to replace our current on premise finance applications. interested in gl, procurement, accounts payable, contract management and budget and planning functionality in a saas solution.",0,0,i have no digital solutions projects planned for next 12 months,0,0,over the next 24 months will be looking at overall data strategy and platforms for moving forward. interested in data governance and mdm as well as data orchestration and integration tools for automating data flows,0,0,will have some application integration projects in the next 12 months.,0,0,in the next 24 months will be looking to move to cloud based phone system ideally using microsoft teams as our unified comunications platform .,0,0,i have no network challeges over the next 12 months,0,0,i have no plans to expand our outsourced services over the next 12 months,0,0,i have no specific planned it training needs for the next months,0,0,0,0,0,0,0,0,0,Fall 21,3,4,3,4,7
Kingston Technology,IT Director/CISO,www.kingston.com,CA,,Manufacturing,Kingston is a leading global manufacturer of memory and storage solutions.,"1,000-5,000",$5B+,6,30,6,8,Microsoft Windows 10,Oracle,Azure,Yes,Yes,"passwordless access to it resources, public cloud security, api security
 - so many products within cybersecurity- seeing what is out there and comparing them to what we have.",Yes,Yes,"backup solution to replace vranger, automation, cloud security
 looking to automate repeative tasks",No,No,no,Yes,Yes,backup solution to replace vranger.,No,No,no,Yes,Yes,"contact center replacement, teams integration",Yes,Yes,improving wifi environment and improve teams integration.,Yes,Yes,finding servicenow expertise.,No,Yes,no,"Application Security - Vulnerability Assessment,Application Security and WAF,API Secutiry,Cloud Security,Critical Event Management,Security Awareness Computer-Based Training for end-users,Data Loss Protection,Data Center Security,Data Security,DevOps Security,Disaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint prevention,Fraud Prevention / Transaction Security,Identity & Access Management,Multi-factor authentication,Zerotrust,Industrial / IoT Security,Managed Security Service Provider,Mobile App Security,Mobile Security,Network Security - Firewall,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensics,Network Security - Unified Threat Management,Outsourced Consulting,Penetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access Control,Privileged Access Management,Ransomware,Risk & Compliance,Security Incident Response,Security Operations Center - SOC as a Service,Security Rating / Benchmarking,SIEM,SOAR - Security Orchestration Automation and Response,Third Party Cyber Risk Management,Threat Intelligence,User behavior monitoring,Web Security","Backup/Disaster RecoveryConnect Cloud,Help DeskIT Service Management (ITSM),Managed File Transfer,Mobility,SaaS Management,Storage,Virtual Machines,",",","Backup/Disaster Recovery,Hyper-converged Infrastructure (HCI),Network and application performance monitoringServer Storage",",","Business SMS and MMS,BYOD Employee Cell Device Management,Cloud based phone systems (VOIP),Contact Center OptimizationContract Negotiations,Enterprise Mobility Management,Hosted PBXTelecom Expense Management,Unified Communications,Video Conferencing",",Switching,Team Collaboration PlatformWIFI,","IT Service Management (ITSM),",0,Fall 22,7,4,0,3,4
