Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
Rosewood Hotels,Chief Information Officer,rosewoodhotels.com,TX,$5M,Travel / Hospitality / Recreation / Entertainment,Luxury and Upscale hoteling,"10,000+ employees",$1B-$5B,50+,30,16,10,0,0,Azure,possible change in current solution.,possible change in current solution.,no,possible change in current solution.,no,no,possible change in current solution.,no,possible change in current solution.,Fall 21,0,0,0,0,0,0
"Rovia, LLC",0,dreamtrips.com,TX,10000,Travel / Hospitality / Recreation / Entertainment,Unique group travel experiences and discount travel membership,50- 100 employees,Less than $50M,1,8,0,30,Varies,Microsoft,Azure,"ransomware and how to prevent / plan / respond. we are very concerned that our operations are under attack daily for ransomware hackers. we also have a great need for fraud detection and reporting tools, especially for our travel transactions which are high dollar ($1500++)",continuous integration and delivery is a key area we need to focus on in the azure cloud specifically using their tools and technologies. we have a kubernetes and container approach to development and our systems are heavy use of devops tools.,our workforce is 100% remote now post-pandemic. how do we keep them engaged and productive.,we have a need to move bi tools as we emerge from our bankruptcy restructuring. would love to talk to providers that can help us get bi into the azure cloud from on transaction systems.,moving from vue.js into react so would love to see vendors in that space. devops as previously mentioned in azure is a major focal point.,we are using salesforce and are quite happy.,no need for anything in this area.,heavy need for ransomware and other associated security areas.,no need for anything in this area.,Fall 21,4,0,2,10,9,1
Rowan-Salisbury Schools,"Director, Safety Risk & Manager",rssed.org,NC,4.5M,Education,K-12 Education,1000-5000 employees,$50M-$100M,37,20,0,0,0,0,Google,"with education becoming a primary target of cybercrime. we are having to institute security practices that we have not needed to in the past. mfa is our first step, but we are also looking at other ways to secure our network.",off site backup is the primary next step.,none,we are wanting to develop a robust data warehouse that can give us actionable data on student performance and organizational health.,none,none,trying to provide internet to these the can not afford at home.,none,"we are having turnover after 2 years with our technicians, we are trying to find ways to retain and hire better.",Fall 21,2,0,1,1,2,0
Runza,Managing Partner,runza.com,NE,100k,Travel / Hospitality / Recreation / Entertainment,QSR related items,1000-5000 employees,$50M-$100M,86,3,3,1,macos,Dynamics,0,we have meraki firewalls in place and are looking to expand our security for our company.,no,no,looking to simplify things.,no,no,no current needs at this time.,no,looking to see how others do with staffing.,Fall 21,2,0,1,0,0,0
SAIC,President & Manager,saic.com,VA,$11M,High Tech,"Enterprise IT
 
 Cloud Integration
 
 Cyber Operations
 
 Engineering, Integration & Logistics","10,000+ employees",$5B+,50+,350,25,25,Microsoft,Oracle,Azure,"vulnerability management program
 
 security response accountability
 
 soc implementation",no,itam replacement and migration,no,no,no,no,rightsize outsource estimations,cybersecurity employee compensation and retention,Fall 21,5,0,0,1,0,0
SAP,Senior VP & Head of Human Resources Technology & Innovation (Office of the Chief Executive Officer & Human Resources),SAP.COM,CA,500000,High Tech,SAP,"10,000+ employees",$500M-$1B,50,1000,500,500,"WINDOWS, UNIX",SAP,AWS,"insider threat program, incident response, penetration testing",no,no,no,no,no,no,no,no,Fall 21,1,0,0,0,1,0
STX Entertainment,0,ersosstx.com,CA,200k,Media / Marketing / Advertising,Motion picture and television production and distribution.,100-250 employees,$500M-$1B,3,0,0,0,0,0,Azure,evaluating current state of security.,establishing a media asset management solution.,no,no,no,no,no,staff augmentation.,general staff training.,Fall 21,2,0,0,1,1,0
SUNY,Executive Director - Chief Officer (Chief Executive Officer),suny.edu,NY,Over a billion,Education,Higher Education,"10,000+ employees",$1B-$5B,64+,0,0,0,0,0,Hybrid,"we are in the unique situation that our challenges are both external and internal. we have to have a diplomatic approach to our students, who are also our clients, causing breaches within our environment.",we are tasked with making sure that we are in an agile environment and have the capacity to move a bulk to the cloud.,no,no,we have legacy hardware that needs current and relevant software. we need to maximize utilization and minimize costs.,no,we have to ensure that we are able to have a ensure network that runs to it's optimal speed and capacity.,no,no,Fall 21,0,0,0,1,3,0
Salem State University,Chief Information Officer,salemstate.edu,MA,For my data center I may potentially have $ 500 K,Education,Higher Education,500-1000 employees,Less than $50M,1,0,0,0,Windows and Linux,0,Azure,no,"looking at implementing an onsite co-location, some type of failover in case need for shutting down current data center is necessary.",no,currently have an onsite backup solution and looking to implement some type of a more dr backup plan of having a solution that is available in the cloud.,no,no,looking into possibly replacing juniper switching depending on funding being available.,no,no,Fall 21,2,0,0,4,5,0
Samaritas,"Vice President, Senior Living",samaritas.org,MI,250000,Non-Profit,"Two divisions, Senior Living, Child & Family 
 
 Senior living provides affordable housing for seniors from independent living to skilled nursing.
 
 Child & Family services include Michigan's largest foster and adoption services, new Americans, and substance use disorder counseling.",1000-5000 employees,$100M-$250M,40,20,1,1,Windows,Microsoft Dynamics,Azure,develop cybersecurity program and hire dedicated cybersecurity staff member. moving to mfa and having all apps auth to azure.,migrating on-prem servers to azure.,learning and deploying microsoft power apps and automation.,replacing current backup solution with new solution once all servers moved to azure.,none,none,replacing intranet with microsoft 365 solutions. implementing fortinet sd wan solution.,none,getting access to current and concise it operations information.,Fall 21,3,1,1,4,3,0
"Samsonite LLC,","Executive Vice President, Chief Financial Officer & Treasurer",samsonite.com,MA,>5M,Retail,Luggage and bags,1000-5000 employees,$1B-$5B,10+,100+,not disclosed for security reason,not disclosed for security reason,not disclosed for security reason,not disclosed for security reason,Azure,ransomware and threat response,no,no,no,no,no,no,flexible cybersecurity workforce based on need and demand,ensure that security engineer and dotted line it ops team are continuously trained,Fall 21,4,0,0,2,1,0
Santa Margherita USA,"Vice President, Human Resources",santamargheritausa.com,FL,No.,Other,Import Wine,50- 100 employees,$100M-$250M,-,0,0,0,0,0,Azure,no one.,blockchain development.,i'd like to explore what is ai and machine learning potential on a retail/wholesale market structure seeing if other companies in the industry are using ai/ml solutions and how.,no one.,"virtual reality, videogames and productivity.
 
 expanding applications we develop internally throught outsourced development. no need any help on the second.",no need any help on communication systems.,no,no,no,Fall 21,0,0,1,2,4,0
Schaeffler Group USA,"Chair, Plant Manager",schaeffler.com,SC,50k,Manufacturing / Natural Resources,Automotive components,"10,000+ employees",$1B-$5B,16,55,3,20,Windows10,SAP,Azure,no,back up solution,no,no,no,contracts,wifi-6 and 5g,no,no,Fall 21,0,0,0,0,0,0
Schweid & Sons,"Vice President, Marketing & Innovation",schweidandsons.com,NJ,750000,Manufacturing / Natural Resources,Ground beef and hamburgers for sale to retail and foodservice,250-500 employees,$100M-$250M,3,6,1,2,0,Aspen Systems - Canopy,Azure,strengthen our data access and security needs both through systems and mobile access.,no,"revise digital customer journey, ability to connect more directly with customers. digital transformation of our systems",mdm is major pillar for 2022 to centralize our data and ensure data accuracy and availability.,no,no,no,evaluation of how we select our partners in it,no,Fall 21,1,0,3,3,1,0
Security Finance Corporation,Director Information Security,security-finance.com,SC,1,Banking / Finance,Loans / Insurance,1000-5000 employees,$250M-$500M,950,200,4,20,Microsoft,SAP,0,siem upgrade and modeling,cloud security and monitoring,customer monitoring and security services,no,api security management and monitoring.,no,no,no,security training for all aspects.,Fall 21,7,1,0,2,3,3
Self-Realization Fellowship,"Director, Public Affairs",yogananda.org,CA,500000,Non-Profit,"meditation, retreats, counseling",250-500 employees,Less than $50M,8,10,3,10,Windows,Microsoft,Azure,no,dev-ops,digital transformation,data warehousing,devops,no,sd-wan,call centers,it asset management,Fall 21,1,1,0,3,1,0
Sequence,"Director, Business Development, England",sequenceqcs.com,NC,depends on the need,Other,Our Staff specializes in turn-key operations for Pharma and Biotech companies.,100-250 employees,Less than $50M,3,2,1,0,"Win 10, Server 2012 R2, 2016, 2019",Netsuite,Hybrid,"inventory and control of software assets
 
 
 
 establish secure configurations
 
 
 
 central log management
 
 
 
 deploy security analytics/siem tools
 
 
 
 implement a security awareness program
 
 
 
 document incident response procedures
 
 
 
 maintain secure images","certifications on cloud management for aws, google and azure need for our clients",no,always looking to improve dr already on hyper converge with scale computing,no,own our voip system looking to move away from our current and to cloud,always looking to keep us up to date and current always look to improve,no,need to start training for sequence employees,Fall 21,6,1,1,6,6,0
Signature Bank,Executive VP & Chief Financial Officer,Signatureny.com,NY,1M,Banking / Finance,Banking,1000-5000 employees,$1B-$5B,two,100,18,0,0,0,Azure,no,no,no,no,no,no,no,no,no,Fall 21,0,0,0,0,0,0
Skagit County Government,Director,skagitcounty.net,WA,0,Government (state/local/federal),"As an agent of the State of Washington, Skagit County Government serves the citizens of the County through its elected officials. It administers and enforces state laws through the RCW's (Revised Code of Washington), collects taxes, records public documents, assesses property, conducts elections, issues licenses, and protects public health.
 
 The County provides and maintain parks, roads and infrastructure, judicial and law enforcement, jail, youth and family services, juvenile detention, social services, economic development, planning and development services, and emergency management services to the citizens.",500-1000 employees,$500M-$1B,10,23,6,0,Windows 10,Cayenta and Workday Adaptive Insights,Azure,none,"we have 25 years of financial history in an ageing financial system that is not cloud based. we use adaptive insights as our primary cloud based budgeting software. we have entertained buying and implementing a new fully integrated financial system. our receipting, bond, and investment software is in house written and needs to be replaced with a product that integrates with our current system until it is fully replaced.",no,i have created and maintain a financial data warehouse in sql server that utilizes data from our oracle based financial system cayenta. we use power bi primarily as bi software and definitely could use some training in this area. we use odbc and excel pivot tables to report from the data warehouse. power bi dashboards would be really nice for actual to budget monitoring.,no,no,no,no,remote working challenges. keeping it staff that want to work remote employed as things return to a state of normal.,Fall 21,1,1,2,3,6,1
"Slocum-Dickson Medical Group, P.L.L.C.","Director, Information Technology Security & Officer",sdmg.com,NY,0,Healthcare / Hospital,Multi-Specialty Physician Group,500-1000 employees,$50M-$100M,4,12,1,0,Windows 10,Epic,0,no,no,no,building a new data center,no,no,connecting up with and securing a new data center,no,retention and hiring.,Fall 21,0,0,0,0,0,2
Softtek,"Managing Director, Utilities, Agroindustry & South America Market",softtek.com,TX,10M,Professional Services,"all IT related services (custom development, ERP implementations, App support and maintenance, Infrastructure setup and monitoring, Quality and security testing)","10,000+ employees",$500M-$1B,5+,200+,15+,25,microsoft,SAP,Azure,prevent black hat hackers to access any information from our systems,moving to containers,building enough data for models to work,working on generating more data insights,i want to open my platform for crowd coding with my employees,no,no,no outsourcing. all done in-house,just working on reorganizing the leadership priorities and workload,Fall 21,0,1,1,2,3,0
Space Coast Credit Union,"Partnerships Manager, Events",ssc.com,FL,1 million,Banking / Finance,"Mortgage, Checking accounts, CD's, Loans",500-1000 employees,$500M-$1B,68,35,8,450,Windows 10,nA,0,no,just starting looking at cloud,no,no,no,"new features, integrate video with calls",explore sd-wan,no,no,Fall 21,1,0,0,1,1,0
Spectrum,President & Estimator & Project Manager,spectrum.com,CT,0,High Tech,"HSD, Voice, Video","10,000+ employees",$500M-$1B,0,0,0,0,0,0,Oracle,no,no,no,no,no,no,no,no,no,Fall 21,0,0,0,0,0,0
Spectrum Health & Human Services,"Vice President, Quality & Compliance",shswny.org,NY,1M,Healthcare / Hospital,Behavior Health Support and Services,250-500 employees,Less than $50M,15,6,1,5,W10,MS Dynamics,Azure,no,a backup solution for all saas applications.,no,fine tuning data warehouse and data mining,no,no,no,no,project management,Fall 21,1,0,0,0,1,0
Spinnaker Resorts,General Manager,spinnakerresorts.com,SC,200000,Travel / Hospitality / Recreation / Entertainment,"Timeshare, Hospitality",250-500 employees,$50M-$100M,10,7,7,0,Windows,In House development,Azure,always interested in understanding options to enhance our internal and public facing services. securing cloud / network access with a unified mfa would be ideal.,no,no,no,no,possibly looking at pursuing a cloud based voip service both from a corporate perspective and as it applies to our hotel and timeshare units.,no,no,no,Fall 21,0,1,1,2,3,1
"Spins, LLC","Vice President, Data Governance & Operations",spins.com,IL,$1.9M,High Tech,Products that create value for retailers and brands by combining data with product intelligence.,250-500 employees,$250M-$500M,3,85,3,15,"Windows, Mac",NetSuite,Google,we are working with a firm already to incorporate new security polices to help move to the next level of maturity.,we are moving everything to the cloud. the interest here is how to eliminate as much of our network infrastructure on-premise and move it to the cloud.,we are not really focused on this.,no,there is not really anything here that we need assistance with.,planning to move to a teams based phone system as soon as possible. this will need to address the needs of our customer success team.,"as stated above, with our move to the cloud and limited on-prem equipment, etc., i am looking for expertise on how to minimize what is needed on-prem for networking and vpn.",nothing here.,nothing here.,Fall 21,2,4,1,3,2,1
Spring-Ford Area School Distrct,Director of Curriculum and Instruction,spring-ford.net,PA,6.7 Million,Education,"Networking
 
 Security
 
 Access Control
 
 Keyless Entry
 
 Digital Content
 
 Instructional Tech",1000-5000 employees,$100M-$250M,15,20,3,5,"ChromeOS, Windows, MacOS, IOS","Skyward, Frontline",Azure,"keeping kids safe
 
 stop fraud, with changing of bank accounts
 
 network security
 
 phishing","offsite backup
 
 virtualization
 
 storage
 
 help desk management","protecting business office machines
 
 workflow of special ed","backup
 
 offsite backup
 
 encrypted emails with student registration",no,"virtual classrooms
 
 better phone system
 
 unified communications for security force","update wifi
 
 sd-wan for better internet reliability
 
 better switching between buildings.","better staffing
 
 better help desk
 
 possibly outsourcing building techs and call center","team building
 
 leadership coaching
 
 staffing at all levels",Fall 21,7,4,1,1,5,0
St. Charles Health System,CISO,stcharleshealthcare.org/,OR,$3M,Healthcare / Hospital,Rural (Central Oregon) five-campus hospital system.,1000-5000 employees,$1B-$5B,5,250,6,12,Windows,Workday,Azure,"two issues i plan to start addressing in the coming 3-6 months are:
 
 
 
 -iot/ot identification, inventory, and security
 
 
 
 - implementation group 1 of the center for internet security's critical security controls",no,no,no,no,no,no,no,no,Fall 21,2,0,1,1,1,0
St. Vincent de Paul,Executive Director,stvincentdepaul.net,AZ,5 million,Non-Profit,Human Services,250-500 employees,Less than $50M,8,5,2,6,Windows,Salesforce,Azure,no,no,no,no,no,no,no,no,no,Fall 21,0,0,0,0,0,0
Stanford HealthCare,Chief Information Officer,stanfordhealthcare.org,CA,500000,Healthcare / Hospital,Healthcare Services,1000-5000 employees,$250M-$500M,0,1000,15,10,Windows,Lawson,Azure,incident management process,cloud migrations,no,no,no,no,no,no,no,Fall 21,0,0,0,1,3,0
Steel Craft Corp,Vice President and General Manager,steelcraftwi.com,WI,$350k,Manufacturing / Natural Resources,"Metal cutting, forming, punching, stamping, finishing, painting, ecoating, powder coating, and assembly.",500-1000 employees,$100M-$250M,4,5,2,2,"Mix of Windows 7/10, Server 2008r2/2012r2/2019",Epicor,Azure,"with a very small operations team we need to make sure we stay on top of any issues within the environment, so we are looking at siem for better information. we are also looking to implement mfa for enhanced security on top-level accounts.",0,0,we are working to get more involved in bi dashboards and reports.,0,0,0,continuing to work with multiple vendors.,0,Fall 21,2,0,1,0,0,0
Sun Health,Vp-Cfo,linkedin/in/gakorn,AZ,1.2M,Healthcare / Hospital,"Sun Health is a non-for-profit serving with three large senior living communities, research, philanthropic arm, and whose vision is to envision a world where people live longer, healthier, more purposeful lives.",500-1000 employees,$50M-$100M,5,10,2,18,Windows 10,NetSmart,AWS,no,"automation, automation, automation.
 
 itsm","connecting data sets across multiple disparate applications.
 
 data analytics, predictive analysis, ai
 
 automation of workflow and content.","data analytics, predictive analysis, ai",no,no,no,"apis to connect disparate data sets across applications.
 
 itsm implementation
 
 digital transformation",it certificates will be offered up.,Fall 21,0,1,0,4,3,0
Susquehanna University,Chief Information Officer,susqu.edu/IT,PA,2000000,Education,Susquehanna University is a private liberal arts university in central Pennsylvania.,500-1000 employees,$50M-$100M,1,16,2,0,Windows 10 Enterprise & Mac OS Big Sur,Ellucian,Azure,"we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform.","we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform, with all backups being cloud-based.
 
 
 
 we are also interested in virtual desktop / streaming application solutions to replace some of our physical academic computer labs.",no,"we have recently adopted a data lake product, edify, from eab. we will be working on system integrations, and data export to visualization/dashboard/reporting tools like powerbi and tableau.
 
 
 
 we are looking to assess our overall on premise and cloud backup, retention, and recovery plans - ideally bringing it within a single platform, with all backups being cloud-based.
 
 
 
 we are looking into a specialized storage solution for video-grade storage (mass storage, high speed), for our videographers and academic video courses.",no,we use cisco voip as our main phone system and ms teams for video collaboration. voip system is up for renewal in 2 years - interested in assessing alternative solutions for more unified communications before making decision to renew maintenance.,"we will replace approximately 1/5 of our edge wired and wireless infrastructure, as we do each year. we have an interest in looking into hospitality wifi access points for our dorms.","we continue to assess our outsourcing for complex areas, or areas we are lacking expertise or have vacancies.","we continue to work with our hr department to offer professional development opportunities for both hard and soft skills to our it staff, especially as new hires come on board or as other staff move into new roles, or as we adopt new technology platforms.",Fall 21,3,8,2,5,11,5
Sutherland,Global Program Manager,sutherlandglobal.com,NY,10M+,High Tech,Digital and Business Transformation Services,"10,000+ employees",$1B-$5B,20+,1000+,50+,50000,Windows,"Multiple including SAP, Oracle, Salesforce",Hybrid,no,we are looking for suppliers who can partner with us to provide their white-labeled solutions to our customers,we are looking for suppliers who can partner with us to provide their white-labeled solutions to our customers,no,no,no,no,we are looking for suppliers who can partner with us to provide their white-labeled solutions to our customers especially in the areas of cloud enablement,no,Fall 21,0,0,0,1,2,0
Synovus Financial Corp,"President, Financial Management Services",synovus.com,GA,$100M + for all IT and Cybersecurity operating expense,Banking / Finance,"Synovus Financial Corp. is a financial services company based in Columbus, Georgia, with approximately $55 billion in assets. Synovus provides commercial and retail banking, investment, and mortgage services through 285 branches in Georgia, Alabama, South Carolina, Florida, and Tennessee.","5000-10,000 employees",$1B-$5B,320,200+,50,200,Windows10,Oracle,Azure,will discuss with solution providers during meetings. i've noted particular areas of interest in previous question,no,no,no,no,no,no,will discuss with solution providers. areas of interest are included in the response to previous question,will discuss with solution providers. areas of interest are included in the response to previous question,Fall 21,0,0,0,0,0,1
T-mobile Usa Inc,"Manager, Executive Liaison Team Chief Executive Officer",tmobile.com,WA,1M,High Tech,"TElecommunications
 
 Wireless services","10,000+ employees",$500M-$1B,30,2000,100,5000,Windows,SF,AWS,security,crm,ai,data analysis,iot,contract neotiations,no,no,no,Fall 21,1,0,1,2,2,0
TELCOR Inc,CIO,telcor.com,NE,########,Healthcare / Hospital,Point of care and revenue cycle management solutions.,250-500 employees,Less than $50M,Three,40,2,30,Windows 10,0,AWS,0,investigation of utilizing cloud based backup repository for ransomware protection.,no,no,no,investigation of replacement options for an on-premise phone and contact center system.,no network assistance scheduled for the next 3-6 months.,assistance with ongoing configuration and optimization of the servicenow platform.,no challenges in this area are scheduled to be addressed in the next 3-6 months.,Fall 21,4,2,1,1,1,0
TOL,"Director, Information Technology",greenstoyotaoflexington.com,KY,$2m,Retail,Our primary business is the sale and service of Toyota and Infiniti vehicles.,250-500 employees,$100M-$250M,6,3,1,1,Win10 Pro,Insight,Azure,"migrating users to mfa services and sso where possible with proprietary systems. further, educating end users on best practices and acceptable use policies.",converting users to better dr solutions with multiple layers of redundancy.,not sure what you're asking here. please advise.,keeping company controls on data instead of personal accounts.,no,streamlining customer experience.,compliance with protocols.,shifting liability to qualified firms.,advancing internal staff's certifications,Fall 21,2,1,2,0,2,0
TU,Executive VP & Chief Operations Officer,transunion.com,IL,$1M,Banking / Finance,"Credit Report
 
 Healthcare Services","5000-10,000 employees",$500M-$1B,6,12,50,0,Windows,0,AWS,we will be doing cloud migration efforts in the coming months would love to know more about cloud security.,"we would like to migrate legacy applications to cloud, as part of this migration we would like modernize our applications.",no,we would like to look for better solutions for our data in cloud.,modernizing our applications to make it cloud native.,no,no,no,as a leader we would help organize projects and manage resources to deliver the software applications.,Fall 21,2,0,0,4,5,0
Tacodeli,General Manager,tacodeli.com,TX,50000,Travel / Hospitality / Recreation / Entertainment,Fast Casual Restaurant - Food Services,250-500 employees,Less than $50M,13,2,1,0,0,0,Azure,no,no,no,no,no,no,no,no,further development in the it industry,Fall 21,0,0,0,0,0,0
Tailored Management,"Senior Director, Recruiting",tailoredmanagement.com,OH,200000,Professional Services,"Staffing, Staffing Management",100-250 employees,$250M-$500M,3,5+,5,5,Windows,0,Azure,handling remote threat management,remote virtualization,no,storage monitoring,no,no current challenges with communication systems,"vpn, mobility",tlm,"training, adaptive training",Fall 21,3,0,1,1,3,1
Tanner Clinic,"Director, Information Services",tannerclinic.com,UT,500K,Healthcare / Hospital,Multispecialty Healthcare Clinics serving Northern Utah.,1000-5000 employees,$100M-$250M,12,8,3,50,Win10,Custom,Azure,"dlp, dr, siem, and compliance","we are cloud-hesitant due to hipaa and security concerns, but looking at long-term archival solutions in the cloud, as long as the restore time-frame is fast.",no,performance monitoring,no,we could use better contact center controls and management.,we have just refreashed network switching and are good here.,no,"interested in these items as well, but not as high priority as others.",Fall 21,4,1,1,1,1,1
Tarter Krinsky and Drogin LLP,Director of IT,tarterkrinsky.com,NY,1.8M,Professional Services,Legal Services,100-250 employees,$50M-$100M,2,4,1,0,Windows 10,None,Azure,cloud security for our present cloud solution. new method of remote access. new voip phone system. new crm system,"new voip system
 
 , new crm",using ai to help improve efficiency in document creation and reduce risk of mistakes in documents,encryption at rest,nothing at this time,replacing our voip solution,production wifi,not at this time,getting and retaining talent,Fall 21,3,4,2,3,5,0
TestOut Corporation,Director of IT,testout.com,UT,1000000,Education,LabSim is our main service and we provide educational courses and simulations inside this service.,100-250 employees,Less than $50M,1,6,1,0,Windows,None,Azure,our main project in 2022 will be looking into zeropoint to eliminate the strain on our vpn. we are also needing a firewall upgrade by end of 2022.,we are working on a project for file sharing and storage as well as backup and recovery of endpoints.,no,"we have a data warehouse that is in its infancy, so finding new solutions for ways to improve could be helpful.",no,we are in a 3 year contract for our voip that ends in 2023. we just moved to teams for internal communications and things are going well.,"we have moved to a more remote workforce, so our on prem networking needs to be scaled back. working with a company that may have network specialists could be helpful.",we have recently started working with a couple outsourcing companies. we are in preliminary talks and things are going well. we don't have a need to include others in those discussions.,we recently filled all open positions. we won't have another hiring round until late in 2022.,Fall 21,3,4,0,1,5,3
Texas Southmost College,CIO,tsc.edu,TX,2 millions,Education,Higher Education,500-1000 employees,$50M-$100M,2,12,2,50,"Windows, Linux",Ellucian,Azure,disaster recovery,create a d/r site in azure,no,no,no,deploy classroom emergency notification,continue to roll out hardware,no,no,Fall 21,1,0,0,1,0,0
The Allen Company,Managing Director and Executive Vice President,byallen.com,CO,2MM USD,Manufacturing / Natural Resources,"Sporting Goods, Outdoor Lifestyle, Patio Coverings, Arts and Crafts",100-250 employees,$100M-$250M,5,10,1,4,"Windows 10, MacOS",Epicor,Azure,ransomeware - email security - mfa / 2fa account access,"migration, capacity management, scalability, service management","ecommerce marketplace extensions, item/product syndication, item management, ordermanagement","reporting modernization, powerbi implemenation + refactor critical reports, build appropriate data models, build skills for how to use modern data tools.","closet to cloud transformation - more workloads, services to azure platform - create 'serverless' services to support core business process (item management, order management)","capacity, tuning the network to perform critical workloads","extend the company private network to a secure datacenter, minimize the need to re-ip our servers/services","value for the hour, prevetting company capabilities, scoping and sizing projects - vendor management challenges.","succession planning, talent scouting, retention",Fall 21,1,0,3,3,5,0
The Asia Foundation,"Vice President, Finance & Chief Financial Officer",asiafoundation.org/about/,CA,"Software development = 50,000-150,000/year. cyberscurity is not my area",Non-Profit,"The Asia Foundation is a nonprofit international development organization committed to improving lives across a dynamic and developing Asia. Informed by six decades of experience and deep local expertise, our work across the region addresses five overarching goals‚àö¬¢‚Äö√á¬®‚Äö√Ñ√πstrengthen governance, empower women, expand economic opportunity, increase environmental resilience, and promote international cooperation.",500-1000 employees,$50M-$100M,22,0,0,0,0,Deltek,Azure,no,"phase 1: review taf‚àö¬¢‚Äö√ß¬®‚Äö√±¬¢s current state processes and technology platforms by performing a comprehensive review of policies, procedures, processes, systems, internal controls, segregation of duties, review of the current deltek systems, and review of project management related processes and systems. 
 
 phase 2: use the analysis of the current state and the information gathered to develop taf‚àö¬¢‚Äö√ß¬®‚Äö√±¬¢s future state requirements for both the financial management and project management system. begin the design of future state recommendations, configurations for the selected system(s), and processes.
 
 phase 3: develop a multi-year, multi-tier comprehensive future-state technology roadmap for core and supplemental systems identified together with a rough order of magnitude estimate. the road map and alternatives will ensure a streamlined process with optimized system capabilities (including dashboards and an fp&a tool) after addressing any identified weaknesses or deficiencies. the development of the road map includes steps to evaluate different financial and project management related system options against taf business requirements. this will include a number of viable different options (example: build versus buy) related to ensuring successful financial and project management.",see list above,see list above,see list above,no,no,see list above,see list above,Fall 21,1,0,1,1,2,1
The Center or Cascade SurgiCenter,"Senior Director, Human Resources",thecenteroregon.com cascadesc.com,OR,500k,Healthcare / Hospital,"Ambulatory Orthopedics, Neurosurgery, Physical Medicine & Rehabilitation
 
 We also run an Ambulatory Surgery Center",250-500 employees,$50M-$100M,10,10,2,20,Windows / Vmware,N/A - EHR vendor is Allscripts,Hybrid,"possibly enhanced endpoint/edr/xdr 
 
 firewall vendor
 
 ransomware protection
 
 siem or managed siem",primary help desk / itsm and backup/disaster recovery,"we are healthcare, looking at ""digital front door"" options and enhanced patient-facing applications - portals, check-in, scheduling","reporting needs are growing,",no,"possibly cloud phone systems, probably cloud call/contact center",wifi and core switching projects,"ehr workflows, patient experience",continued staff development & training,Fall 21,11,2,1,3,4,0
The MITRE Corporation,"Vice President, Chief Financial Officer & Treasurer",mitre.org,MA,########,Non-Profit,consulting,"5000-10,000 employees",$1B-$5B,50,0,0,0,0,0,AWS,no,no,robots,big data analytics,no,voip,no,workforce management,training,Fall 21,1,2,0,2,2,0
The Motley Fool,Senior Vice President & Chief Legal Officer,fool.com,VA,500000,Media / Marketing / Advertising,"Investment ideas online subscription services
 
 Financial services",500-1000 employees,$100M-$250M,4,50,5,0,0,0,Hybrid,"vendor risk management, particularly for companies whose products are not publicly accessible or able to be tested or scanned
 
 
 
 strategies for ransomware protection or response",no,no,"classification in a practical way for business teams
 
 
 
 tracking data flow",no,no,no,no,no,Fall 21,2,1,0,0,0,1
The Queen's Health Systems,"Chief Operating Officer, QMC West & Senior Vice President, West Oahu Region",queens.org,HI,TBD,Healthcare / Hospital,Healthcare,"5000-10,000 employees",$100M-$250M,2,0,0,0,0,0,0,"1. improve reporting and automate process for risk and compliance.
 
 2. implement data-at-rest security.
 
 3. improve disaster/backup recovery program.
 
 4. implement cloud security
 
 5. assess and report on application security.",no,no,no,no,no,no,no,"implement cybersecurity & incident response training, testing, and simulations for it staff",Fall 21,7,0,0,3,3,0
The Resource Center,Director of IT,resourcecenter.org,NY,750000,Non-Profit,"Primary Care
 
 Mental Health
 
 Dental
 
 Pharmacy
 
 Resident Care
 
 Nursing Care
 
 Manufacturing
 
 Job Coaching",1000-5000 employees,$50M-$100M,30,13,1,4,Windows 10,Epicor,0,"multi factor authentication, hipaa compliance, nist 800-171 compliance",no cloud initiatives at this time,no,no,no,we need a better solution the cucm,we need to upgrade our aging cisco switch environment,no,need a system for staff to assign training exercises,Fall 21,2,0,1,2,4,1
